Date,State,Project,Manufacturer,System Size (kW),"Type (Roof, Ground, Ballasted Ground)",Model,Module Rating,Module Quantity,Foundation Material,Racking Material,Shipping,Material $/W,Material $/Module,Foundation Install,Racking Install,(Install includes modules),Installation $/W,Installation $/Module,"Accessories (Clips, Engineering, etc)",Check Sum,Steel Producer Price Index (WPU101),Adjusted Material $/W,Adjusted Material $/Module,Coast,Sales Rep,Terms,Notes
12/28/2018,CA,"Sealed Air - Madera, CA",ATI,4200,Ground tracker,DuraTrack HZ V3,345,"12,264",153877,628548,128500,0.216886905,74.27633725,,349000,TRUE,0.08,28.46,3500,1263424.29,245.8,0.311035939,106.5191574,West,Dylan Wraga,,Revised quote
12/9/2019,NY,"Forefront Burch - Hartford, NY",ATI,2979.2,Ground tracker,DuraTrack HZ V3,380,"7,840",150902,412432,115250,0.227773899,86.55408163,,284500,TRUE,0.1,36.29,4250,967334.54,207.3,0.387314517,147.1795165,East,,,
11/29/2018,CA,"Sealed Air - Madera, CA",ATI,4200,Ground tracker,DuraTrack HZ V3,345,"12,264",169762,649665,128500,0.225696905,77.29346053,,351500,TRUE,0.08,28.66,3500,1302926.89,246.7,0.322489497,110.4416086,West,Dylan Wraga,,
11/21/2019,MD,"Forefront Morris - Centreville, MD",ATI,933.66,Ground tracker,DuraTrack HZ V3,380,"2,457",125762,35264,37250,0.212364244,80.6984127,18207.48,68442.52,TRUE,0.09,27.86,4250,289175.34,205.1,0.364984866,138.694249,East,,,"Numbers for C2 level of corrosion.
C4 has also been provided due to
proximity to marine environment."
11/21/2019,MD,"Forefront Unitas - Baldwin, MD",ATI,2324.84,Ground tracker,DuraTrack HZ V3,380,"6,118",120929,379813,82000,0.25065897,95.25040863,57230.25,215294.75,TRUE,0.12,35.19,4250,859517.4,205.1,0.430801009,163.7043834,East,,,"Numbers for C2 level of corrosion.
C4 has also been provided due to
proximity to marine environment."
11/21/2019,MD,"Forefront Foxhall - Freeland, MD",ATI,4368.1,Ground tracker,DuraTrack HZ V3,380,"11,495",209207,650279,146750,0.230360111,87.53684211,69898.5,262951.5,TRUE,0.08,22.88,4250,1343335.88,205.1,0.395913891,150.4472786,East,,,"Numbers for C2 level of corrosion.
C4 has also been provided due to
proximity to marine environment."
11/14/2019,MD,"Forefront PR97 - Bowie, MD",ATI,3194.1,Ground tracker,DuraTrack HZ V3,390,"8,190",132416,470519,117750,0.225630068,87.9957265,69011.25,259613.75,TRUE,0.1,31.7,4250,1053559.75,205.1,0.38778449,151.2359512,East,,,"Numbers for C2 level of corrosion.
C4 has also been provided due to
proximity to marine environment."
11/14/2019,MD,"Forefront GA25 - Accident, MD",ATI,3201.12,Ground tracker,DuraTrack HZ V3,390,"8,208",114398,419793,106950,0.200286462,78.11172027,60322.5,226927.5,TRUE,0.09,27.65,3500,931890.62,205.1,0.344227099,134.2485685,East,,,"Recommended addition of
$155,725 for predrilling due to 
high refusal"
11/14/2019,MD,"Forefront GA29 - Friendsville, MD",ATI,3201.12,Ground tracker,DuraTrack HZ V3,390,"8,208",120949,431708,90250,0.200838144,78.32687622,62637.75,235637.25,TRUE,0.09,28.71,5000,946182.47,205.1,0.34517526,134.6183514,East,,,"Recommended addition of
$161,700 of predrilling due
to prevalence of refusals"
11/14/2019,MD,"Forefront PR24 - Bowie, MD",ATI,3204.24,Ground tracker,DuraTrack HZ V3,390,"8,216",128174,450099,103000,0.212616096,82.92027751,65063.25,244761.75,TRUE,0.1,29.79,4250,995347.4,205.1,0.365417718,142.5129099,East,,,"Numbers for C2 level of corrosion.
C4 has also been provided due to
proximity to marine environment."
